Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	"Protein class"	"Biological process"	"Molecular function"	Evidence	"RNA tissue specificity"	Interactions	"Subcellular main location"
TRIM52	RNF102	ENSG00000183718	"Tripartite motif containing 52"	Q96A61	"Enzymes, Predicted intracellular proteins"	"Antiviral defense, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	5	Nucleoli
TRIM54	"MURF, MURF-3, RNF30"	ENSG00000138100	"Tripartite motif containing 54"	Q9BYV2	"Predicted intracellular proteins"	Differentiation	"Developmental protein"	"Evidence at protein level"	"Group enriched"	162	"Plasma membrane, Cytosol"
TRIM55	"MURF-2, RNF29"	ENSG00000147573	"Tripartite motif containing 55"	Q9BYV6	"Predicted intracellular proteins, Predicted membrane proteins"		"Muscle protein, Transferase"	"Evidence at protein level"	"Group enriched"	22	"Golgi apparatus"
TRIM56	RNF109	ENSG00000169871	"Tripartite motif containing 56"	Q9BRZ2	"Enzymes, Predicted intracellular proteins"	"Antiviral defense, Immunity, Innate immunity, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	18	Nucleoplasm
TRIM59	"Mrf1, RNF104, TRIM57, TSBF1"	ENSG00000213186	"Tripartite motif containing 59"	Q8IWR1	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Tissue enhanced"	26	
TRIM62	"DEAR1, FLJ10759"	ENSG00000116525	"Tripartite motif containing 62"	Q9BVG3	"Enzymes, Predicted intracellular proteins"	"Immunity, Innate immunity, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	18	"Vesicles, Focal adhesion sites"
TRIM63	"IRF, MURF-1, RNF28, SMRZ"	ENSG00000158022	"Tripartite motif containing 63"	Q969Q1	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Ubl conjugation pathway"	"Muscle protein, Transferase"	"Evidence at protein level"	"Tissue enriched"	54	
TRIM65		ENSG00000141569	"Tripartite motif containing 65"	Q6PJ69	"Predicted intracellular proteins"	"Immunity, Innate immunity"	Transferase	"Evidence at protein level"	"Low tissue specificity"	10	"Nucleoplasm, Cytosol"
TRIM66	"C11orf29, KIAA0298, TIF1D"	ENSG00000166436	"Tripartite motif containing 66"		"Predicted intracellular proteins"			"Evidence at protein level"	"Tissue enhanced"		Nucleoplasm
TRIM68	"FLJ10369, RNF137, SS-56"	ENSG00000167333	"Tripartite motif containing 68"	Q6AZZ1	"Enzymes, Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	27	"Nucleoplasm, Cytosol"
TRIM69	"RNF36, Trif, TRIMLESS"	ENSG00000185880	"Tripartite motif containing 69"	Q86WT6	"Enzymes, Predicted intracellular proteins"	"Apoptosis, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Tissue enriched"	27	
TRIM7	"GNIP, RNF90"	ENSG00000146054	"Tripartite motif containing 7"	Q9C029	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Antiviral defense, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Tissue enhanced"	31	Vesicles
TRIM72	MG53	ENSG00000177238	"Tripartite motif containing 72"	Q6ZMU5	"Predicted intracellular proteins, Transporters"	"Exocytosis, Transport, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Group enriched"	17	Vesicles
TRIM73	TRIM50B	ENSG00000178809	"Tripartite motif containing 73"	Q86UV7	"Predicted intracellular proteins"			"Evidence at transcript level"	"Low tissue specificity"		Cytosol
TRIM8	"GERP, RNF27"	ENSG00000171206	"Tripartite motif containing 8"	Q9BZR9	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"Immunity, Innate immunity, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	36	Nucleoplasm
TRIO	ARHGEF23	ENSG00000038382	"Trio Rho guanine nucleotide exchange factor"	O75962	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		"Guanine-nucleotide releasing factor, Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	13	Cytosol
TRIOBP	"DFNB28, HRIHFB2122, KIAA1662, TAP68, Tara"	ENSG00000100106	"TRIO and F-actin binding protein"	Q9H2D6	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"	Actin-binding	"Evidence at protein level"	"Low tissue specificity"	19	
TRIP10	"CIP4, HSTP, STOT, STP"	ENSG00000125733	"Thyroid hormone receptor interactor 10"	Q15642	"Plasma proteins, Predicted intracellular proteins"	Endocytosis		"Evidence at protein level"	"Tissue enhanced"	26	Vesicles
TRIP11	"CEV14, GMAP-210, GMAP210, Trip230"	ENSG00000100815	"Thyroid hormone receptor interactor 11"	Q15643	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Evidence at protein level"	"Low tissue specificity"	20	"Golgi apparatus"
TRIP12	"KIAA0045, TRIPC, ULF"	ENSG00000153827	"Thyroid hormone receptor interactor 12"	Q14669	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"DNA damage, DNA repair, Ubl conjugation pathway"	Transferase	"Evidence at protein level"	"Low tissue specificity"	61	"Nuclear speckles"
TRIP4	"ASC-1, HsT17391, ZC2HC5"	ENSG00000103671	"Thyroid hormone receptor interactor 4"	Q15650	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Transcription, Transcription regulation"		"Evidence at protein level"	"Low tissue specificity"	44	"Nucleoplasm, Nuclear bodies"
TRIP6	"MGC10556, MGC10558, MGC29959, MGC3837, MGC4423, OIP1, ZRP-1"	ENSG00000087077	"Thyroid hormone receptor interactor 6"	Q15654	"Predicted intracellular proteins"	"Cell adhesion, Transcription, Transcription regulation"		"Evidence at protein level"	"Low tissue specificity"	134	"Focal adhesion sites"
TRIQK	"C8orf83, DKFZp779L1068, LOC286144, PRO0845"	ENSG00000205133	"Triple QxxK/R motif containing"	Q629K1	"Predicted intracellular proteins, Predicted membrane proteins"			"Evidence at protein level"	"Low tissue specificity"		
TRIR	"C19orf43, fSAP18, MGC2803, TERCIR"	ENSG00000123144	"Telomerase RNA component interacting RNase"	Q9BQ61	"Predicted intracellular proteins"		"Exonuclease, Hydrolase, Nuclease, RNA-binding"	"Evidence at protein level"	"Low tissue specificity"	7	Nucleoplasm
TRIT1	"FLJ20061, IPT"	ENSG00000043514	"TRNA isopentenyltransferase 1"	Q9H3H1	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"tRNA processing"	Transferase	"Evidence at protein level"	"Low tissue specificity"	1	Mitochondria
TRMO	"C9orf156, HSPC219"	ENSG00000136932	"TRNA methyltransferase O"	Q9BU70	"Predicted intracellular proteins"	"tRNA processing"	"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	6	Nucleoplasm
TRMT1	"FLJ20244, TRM1"	ENSG00000104907	"TRNA methyltransferase 1"	Q9NXH9	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"tRNA processing"	"Methyltransferase, RNA-binding, Transferase, tRNA-binding"	"Evidence at protein level"	"Low tissue specificity"	7	"Plasma membrane, Cytosol"
TRMT10A	"MGC27034, RG9MTD2, TRM10"	ENSG00000145331	"TRNA methyltransferase 10A"	Q8TBZ6	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	2	"Nucleoplasm, Nucleoli, Actin filaments"
TRMT10B	"bA3J10.9, FLJ31455, RG9MTD3"	ENSG00000165275	"TRNA methyltransferase 10B"	Q6PF06	"Enzymes, Predicted intracellular proteins"		"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"		Nucleoplasm
TRMT10C	"FLJ20432, MRPP1, RG9MTD1"	ENSG00000174173	"TRNA methyltransferase 10C, mitochondrial RNase P subunit"	Q7L0Y3	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"tRNA processing"	"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	15	Mitochondria
TRMT11	"C6orf75, dJ187J11.2, MDS024, TRM11, TRMT11-1"	ENSG00000066651	"TRNA methyltransferase 11 homolog"	Q7Z4G4	"Metabolic proteins, Predicted intracellular proteins"	"tRNA processing"	"Methyltransferase, RNA-binding, Transferase, tRNA-binding"	"Evidence at protein level"	"Low tissue specificity"	4	"Nuclear bodies"
TRMT112	"HSPC152, HSPC170, hTrm112, TRM112, TRMT11-2"	ENSG00000173113	"TRNA methyltransferase activator subunit 11-2"	Q9UI30	"Essential proteins, Predicted intracellular proteins"	"rRNA processing"		"Evidence at protein level"	"Low tissue specificity"	13	Microtubules
TRMT12	"FLJ20772, Trm12, TYW2"	ENSG00000183665	"TRNA methyltransferase 12 homolog"	Q53H54	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"tRNA processing"	Transferase	"Evidence at protein level"	"Low tissue specificity"	2	Nucleoplasm
TRMT13	"CCDC76, FLJ10287, FLJ11219"	ENSG00000122435	"TRNA methyltransferase 13 homolog"	Q9NUP7	"Enzymes, Predicted intracellular proteins"	"tRNA processing"	"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"		"Nucleoplasm, Plasma membrane"
TRMT1L	C1orf25	ENSG00000121486	"TRNA methyltransferase 1 like"	Q7Z2T5	"Predicted intracellular proteins"	"tRNA processing"	"Methyltransferase, RNA-binding, Transferase, tRNA-binding"	"Evidence at protein level"	"Low tissue specificity"	46	Nucleoplasm
TRMT2A	HTF9C	ENSG00000099899	"TRNA methyltransferase 2 homolog A"	Q8IZ69	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"mRNA processing, tRNA processing"	"Methyltransferase, RNA-binding, Transferase"	"Evidence at protein level"	"Low tissue specificity"	12	"Nucleoplasm, Cytosol"
TRMT2B	"CXorf34, FLJ12687"	ENSG00000188917	"TRNA methyltransferase 2 homolog B"	Q96GJ1	"Enzymes, Predicted intracellular proteins"	"rRNA processing, tRNA processing"	"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	2	Nucleoplasm
TRMT44	"C4orf23, FLJ35725, METTL19, TRM44"	ENSG00000155275	"TRNA methyltransferase 44 homolog"	Q8IYL2	"Enzymes, Predicted intracellular proteins"	"tRNA processing"	"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	5	Cytosol
TRMT5	"KIAA1393, TRM5"	ENSG00000126814	"TRNA methyltransferase 5"	Q32P41	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Potential drug targets, Predicted intracellular proteins"	"tRNA processing"	"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	2	"Nucleoplasm, Nucleoli"
TRMT6	"CGI-09, GCD10, Gcd10p, MGC5029"	ENSG00000089195	"TRNA methyltransferase 6 non-catalytic subunit"	Q9UJA5	"Predicted intracellular proteins"	"tRNA processing"		"Evidence at protein level"	"Low tissue specificity"	19	Nucleoplasm
TRMT61A	"C14orf172, FLJ40452, GCD14, Gcd14p, hTRM61"	ENSG00000166166	"TRNA methyltransferase 61A"	Q96FX7	"Enzymes, Predicted intracellular proteins"	"tRNA processing"	"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	21	Mitochondria
TRMT61B	FLJ20628	ENSG00000171103	"TRNA methyltransferase 61B"	Q9BVS5	"Enzymes, Predicted intracellular proteins"	"tRNA processing"	"Methyltransferase, Transferase"	"Evidence at protein level"	"Low tissue specificity"	41	Cytosol
TRMT9B	"C8orf79, FLJ36980, hTRM9L, KIAA1456, TRM9L"	ENSG00000250305	"TRNA methyltransferase 9B (putative)"	Q9P272	"Predicted intracellular proteins"	"tRNA processing"	"Methyltransferase, Transferase"	"Evidence at protein level"	"Group enriched"		Nucleoplasm
TRMU	"FLJ10140, MTO2, MTU1, TRMT"	ENSG00000100416	"TRNA mitochondrial 2-thiouridylase"	O75648	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"tRNA processing"	"RNA-binding, Transferase, tRNA-binding"	"Evidence at protein level"	"Low tissue specificity"	2	Mitochondria
TRNAU1AP	"FLJ20503, SECP43, TRSPAP1"	ENSG00000180098	"TRNA selenocysteine 1 associated protein 1"	Q9NX07	"Predicted intracellular proteins"	"Protein biosynthesis"	RNA-binding	"Evidence at protein level"	"Low tissue specificity"	5	Nucleoplasm
TRNP1	"C1orf225, TRNP"	ENSG00000253368	"TMF1 regulated nuclear protein 1"	Q6NT89	"Predicted intracellular proteins"	"Cell cycle, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Evidence at protein level"	"Tissue enhanced"	1	
TRNT1	"CCA1, CGI-47, MtCCA"	ENSG00000072756	"TRNA nucleotidyl transferase 1"	Q96Q11	"Disease related genes, Enzymes, Essential proteins, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"tRNA processing"	"Nucleotidyltransferase, RNA-binding, Transferase"	"Evidence at protein level"	"Low tissue specificity"		Mitochondria
TRO	"KIAA1114, MAGE-D3, MAGED3"	ENSG00000067445	Trophinin	Q12816	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Cell adhesion"		"Evidence at protein level"	"Tissue enhanced"	3	"Cell Junctions"
TRPC1	HTRP-1	ENSG00000144935	"Transient receptor potential cation channel subfamily C member 1"	P48995	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel"	"Evidence at protein level"	"Low tissue specificity"	14	Vesicles
TRPC4AP	"C20orf188, dJ756N5.2, DKFZp586C1223, DKFZP727M231, PPP1R158, TRRP4AP"	ENSG00000100991	"Transient receptor potential cation channel subfamily C member 4 associated protein"	Q8TEL6	"Predicted intracellular proteins"	"Host-virus interaction, Ubl conjugation pathway"		"Evidence at protein level"	"Low tissue specificity"	16	Cytosol
TRPM4	FLJ20041	ENSG00000130529	"Transient receptor potential cation channel subfamily M member 4"	Q8TD43	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Adaptive immunity, Immunity, Ion transport, Transport"	"Calmodulin-binding, Ion channel"	"Evidence at protein level"	"Low tissue specificity"	9	"Nucleoplasm, Plasma membrane"
TRPM7	"CHAK1, LTRPC7, TRP-PLIK"	ENSG00000092439	"Transient receptor potential cation channel subfamily M member 7"	Q96QT4	"Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Necrosis, Transport"	"Calcium channel, Ion channel, Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"	"Tissue enriched"	11	"Vesicles, Plasma membrane"
TRPS1	"GC79, LGCR"	ENSG00000104447	"Transcriptional repressor GATA binding 1"	Q9UHF7	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"DNA-binding, Repressor"	"Evidence at protein level"	"Tissue enriched"	30	Nucleoplasm
TRPT1	MGC11134	ENSG00000149743	"TRNA phosphotransferase 1"	Q86TN4	"Enzymes, Predicted intracellular proteins"	"tRNA processing"	Transferase	"Evidence at protein level"	"Tissue enhanced"	1	Mitochondria
TRPV1	VR1	ENSG00000196689	"Transient receptor potential cation channel subfamily V member 1"	Q8NER1	"FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Calmodulin-binding, Ion channel"	"Evidence at protein level"	"Tissue enhanced"	5	
TRPV2	"VRL, VRL-1, VRL1"	ENSG00000187688	"Transient receptor potential cation channel subfamily V member 2"	Q9Y5S1	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel"	"Evidence at protein level"	"Low tissue specificity"		"Plasma membrane"
TRPV3	VRL3	ENSG00000167723	"Transient receptor potential cation channel subfamily V member 3"	Q8NET8	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel"	"Evidence at protein level"	"Group enriched"		"Plasma membrane"
TRRAP	"PAF400, TR-AP, Tra1"	ENSG00000196367	"Transformation/transcription domain associated protein"	Q9Y4A5	"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Transcription, Transcription regulation"	"Activator, Chromatin regulator"	"Evidence at protein level"	"Low tissue specificity"	139	Nucleoplasm
TRUB1	PUS4	ENSG00000165832	"TruB pseudouridine synthase family member 1"	Q8WWH5	"Enzymes, Predicted intracellular proteins"	"mRNA processing, tRNA processing"	Isomerase	"Evidence at protein level"	"Low tissue specificity"	5	Vesicles
TRUB2	CLONE24922	ENSG00000167112	"TruB pseudouridine synthase family member 2"	O95900	"Enzymes, Predicted intracellular proteins"	"mRNA processing, tRNA processing"	Isomerase	"Evidence at protein level"	"Low tissue specificity"	68	
TSC1	"hamartin, KIAA0243, LAM, TSC"	ENSG00000165699	"TSC complex subunit 1"	Q92574	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		Chaperone	"Evidence at protein level"	"Low tissue specificity"	62	Cytosol
